수질측정망 현황,,,,,,,,,,,,,,
측정소명,구분,조사년월,수온(℃),pH,DO(㎎/L),BOD(㎎/L),TOC(㎎/L),SS(㎎/L),총인(T-P)(㎎/L),총질소(T-N)(㎎/L),총대장균군수(총대장균군수),분원성대장균군(㎎/L),수질통합지수 등급,조사기관
홍제천c,지천,20220801,,,,,,,,,,,,서울시보건환경연구원
홍제천d,지천,20220801,23.2,7.98,8.46,0.8,1.7,0.2,0.07,5.75,8200,6800,70(좋음),서울시보건환경연구원
화계천,지천,20220801,20.5,7.78,8.82,0.2,2.2,1.4,0.01,1.71,14000,1500,73(좋음),서울시보건환경연구원
도림천,지천,20220801,24.1,8,8.6,1,2,0.3,0.05,2.03,60000,4500,,서울시보건환경연구원
도림천a,지천,20220801,24.2,7.36,7.21,5,2.3,9.6,0.06,2.14,72000,61000,73(좋음),서울시보건환경연구원
도림천b,지천,20220801,24.5,7.83,8.36,1,2,3.5,0.05,2,75000,5500,73(좋음),서울시보건환경연구원
도림천c,지천,20220801,23.4,8.21,6.06,3.6,2.9,4.6,0.31,5.45,2000,1400,68(보통),서울시보건환경연구원
도봉천,지천,20220801,23.1,7.28,8.92,0.2,1.9,0.5,0.02,2.02,9500,6200,73(좋음),서울시보건환경연구원
뚝도,한강본류,20220801,23.9,7.8,9.1,0.9,2.2,13.2,0.08,2.42,50000,5000,,한강유역환경청
목감천1,지천,20220801,27.1,7.5,7.3,1.7,3.6,22.8,0.16,4.92,41000,17000,,서울시보건환경연구원
묵동천,지천,20220801,23.6,7.24,8.5,1.1,2.2,6.3,0.04,6.44,30000,6300,70(좋음),서울시보건환경연구원
반포천a,지천,20220801,24.6,7.85,9.36,2,2.2,10.7,0.13,2.66,50000,19000,73(좋음),서울시보건환경연구원
반포천b,지천,20220801,24.3,7.35,3.31,12.6,4.1,9.5,0.83,9.6,1900000,500000,63(보통),서울시보건환경연구원
방학천,지천,20220801,24.4,7.49,8.27,2.1,3,3.3,0.16,4.26,740000,300000,70(좋음),서울시보건환경연구원
백운천,소하천,20220801,20.7,8.05,8.83,0.1,1.3,0.3,0.01,1.19,6600,2400,73(좋음),서울시보건환경연구원
보광,한강본류,20220801,24,7.4,8.1,0.8,2.8,14.6,0.13,4.33,620000,54000,,한강유역환경청
불광천a,지천,20220801,21.6,7.52,7.23,2.9,2.3,2.8,0.29,6.38,34000,21000,68(보통),서울시보건환경연구원
불광천b,지천,20220801,23,7.33,5.22,2.6,2.1,3.5,0.21,5.51,40000,18000,68(보통),서울시보건환경연구원
불광천c,지천,20220801,26,7.49,5.92,3,2.8,5.3,0.37,6.76,3000,1300,70(좋음),서울시보건환경연구원
성내천,지천,20220801,26.6,7.1,5.6,2.2,4.1,78,0.29,3.57,270000,130000,,서울시보건환경연구원
성내천a,지천,20220801,23.3,7.32,5.51,4.8,3.4,2.9,0.37,7.31,280000,240000,65(보통),서울시보건환경연구원
성북천,지천,20220801,24,7.7,9,1,2.5,0.9,0.08,5.34,26000,14000,,서울시보건환경연구원
세곡천a,지천,20220801,24.3,7.75,5.94,13.8,3.8,9.6,0.29,4.72,3400000,2800000,65(보통),서울시보건환경연구원
세곡천b,지천,20220801,24.4,8.28,7.2,1.4,2.3,2,0.09,2.86,440000,180000,73(좋음),서울시보건환경연구원
안양천9,지천,20220801,26.4,7.2,3.7,1.6,3.4,10.8,0.19,3.87,35000,32000,,한강물환경 연구소
안양천10,지천,20220801,24.2,7.6,6.6,2.1,4.2,10.6,0.12,5.08,50000,48000,,서울시보건환경연구원
안양천a,지천,20220801,24.7,7.27,7.89,1.7,3.8,4.7,0.09,4.88,87000,67000,68(보통),서울시보건환경연구원
안양천b,지천,20220801,24.5,7.4,8.8,1.6,4,3.5,0.08,5,59000,32000,68(보통),서울시보건환경연구원
안양천c,지천,20220801,22,7.56,3.87,5.8,3.6,9.7,0.19,4.46,260000,220000,68(보통),서울시보건환경연구원
암사,한강본류,20220801,23,7.7,9.2,1.1,2.2,12.8,0.05,2.58,30000,640,,한강유역환경청
양재천2,지천,20220801,23.7,6.7,8.6,1.3,2.1,12.9,0.06,2.61,100000,40000,,서울시보건환경연구원
양재천a,지천,20220801,23.4,7.42,7.48,2.6,2.2,17,0.11,4.23,1500000,800000,70(좋음),서울시보건환경연구원
여의천,지천,20220801,23.3,7.69,8.48,3,2.1,11.9,0.19,4.45,51000,29000,70(좋음),서울시보건환경연구원
영등포,한강본류,20220801,23.7,7.6,8.9,1.1,2.3,13.6,0.08,2.6,75000,6800,,한강유역환경청
우이천,지천,20220801,24.5,7.5,8.8,0.8,1.7,1,0.03,2.33,23000,11000,,서울시보건환경연구원
우이천a,지천,20220801,20.9,8.29,8.74,0.1,1.6,0.6,0.01,1.53,9100,9000,73(좋음),서울시보건환경연구원
우이천b,지천,20220801,21.6,8.39,8.61,0.1,1.7,0.3,0.01,1.91,31000,12000,73(좋음),서울시보건환경연구원
우이천c,지천,20220801,21.4,8.29,8.43,0.1,1.7,0.9,0.02,1.94,90000,44000,73(좋음),서울시보건환경연구원
원지천,소하천,20220801,26,8.45,9.35,0.9,1.5,1.9,0.06,3.12,9500,6700,73(좋음),서울시보건환경연구원
인수천,소하천,20220801,20.7,8.19,8.79,0.2,1.5,0.2,0.01,1.59,40000,30000,73(좋음),서울시보건환경연구원
잠실,한강본류,20220801,23.3,7.8,9.3,1,2.1,10,0.06,2.39,26000,420,,한강유역환경청
정릉천,지천,20220801,23.6,7.6,8,0.9,2.4,3.3,0.09,3.34,50000,16000,,서울시보건환경연구원
