구분 ,지점명,채수위치,Latitude,Longitude
본류,암사,강동구 암사동(암사취수장 앞),37.5677,127.1403
본류,구의,광진구 광장동(천호대교),37.542,127.1151
본류,잠실,송파구 신천동(잠실대교),37.524,127.0918
본류,뚝도,성동구 성수동(성수대교),37.5372,127.0349
본류,보광,용산구 한남동(한남대교),37.527,127.0131
본류,노량진,동작구 본동 (한강대교),37.527,127.0131
본류,영등포,영등포구 양평동(성산대교),37.553,126.8916
본류,가양,강서구 가양동(구암공원 앞),37.5687,126.8543
지천,탄천4,강남구 율현동(대곡교),37.4687,127.1225
지천,탄천5,강남구 삼성동(삼성교),37.4708,126.9414
지천,중랑천2,노원구 상계1동(노원교),37.6789,127.051
지천,중랑천3,동대문구 장안동(장안교),37.5808,127.0773
지천,중랑천4,성동구 성수1동(성동교),35.5527,127.0438
지천,안양천4,구로구 고척동(고척교),37.4991,126.8703
지천,안양천5,양천구 목동(양화교),37.5479,126.8808
지천,홍제천,마포구 월드컵로 243-60,37.5644,126.8976
지천,양재천,강남구 남부순환로 3165,37.4993,127.076
지천,정릉천,동대문구 용두동(정릉천교),37.4993,127.076
지천,도림천,동작구 대림로2 (신대방역),37.4877,126.9133
지천,목교천,구로구 개봉동 광목교 (남부순환도로 밑),37.4928,126.8664
지천,고덕천,강동구 고덕동(고덕천교),37.5708,127.1578
지천,성내천,강동구 성내동(잠실철교),37.5292,127.0986
지천,청계천1,중구 무교동(모전교),37.5692,126.9792
지천,청계천2,성동구 왕십리동(무학교),37.5699,127.0304
지천,청계천3,성동구 사근동(중랑천 합류전),37.5577,127.0521
지천,성북천,동대문구 신설동(성북천교),37.5708,127.0278
지천,우이천,성북구 석관동(중랑천 합류전),37.6111,127.071
